customer_id,age,income,tenure_years,monthly_spend,support_calls,satisfaction_score,login_frequency,contract_months,city,plan,payment_method,churn
CUST100908,64.0,60725.55,10.0,55.54,1.0,6.99,22.21,6.0,Jaipur,Premium,UPI,0
CUST100618,61.0,52169.75,15.0,68.82,3.0,7.93,22.87,12.0,Mumbai,Premium,Card,0
CUST101387,48.0,62551.9,6.0,77.05,2.0,4.61,30.41,12.0,Pune,Standard,Card,0
CUST100942,39.0,31013.15,10.0,68.71,2.0,8.07,23.51,36.0,Delhi,Premium,Card,0
CUST100304,33.0,25891.1,15.0,62.07,2.0,4.68,16.07,24.0,Delhi,Premium,UPI,0
CUST101480,58.0,61171.4,12.0,47.96,4.0,6.72,11.83,12.0,Pune,Basic,UPI,0
CUST100176,47.0,66943.87,5.0,60.95,0.0,8.96,16.67,1.0,Mumbai,Standard,UPI,0
CUST100343,34.0,100432.42,14.0,180.57,3.0,4.59,17.89,36.0,Hyderabad,Standard,Card,0
CUST101309,24.0,48729.55,12.0,63.03,3.0,7.72,16.92,12.0,Delhi,Basic,NetBanking,0
CUST101230,37.0,66665.55,6.0,99.03,0.0,10.0,17.98,36.0,Pune,Standard,UPI,0
CUST100585,26.0,67802.81,13.0,91.84,1.0,8.49,22.67,12.0,Pune,Standard,Card,0
CUST100549,38.0,68588.13,4.0,112.25,1.0,7.8,22.76,24.0,Jaipur,Standard,UPI,0
CUST100311,38.0,44747.54,1.0,28.49,1.0,9.26,20.88,24.0,Bengaluru,Standard,Card,0
CUST100567,30.0,27594.11,14.0,45.94,3.0,7.98,10.55,1.0,Delhi,Premium,Card,1
CUST100651,27.0,62794.61,9.0,102.17,5.0,10.0,7.07,1.0,Bengaluru,Premium,UPI,0
CUST101254,31.0,57814.14,14.0,28.75,2.0,5.49,19.35,1.0,Delhi,Basic,NetBanking,1
CUST101092,23.0,76608.53,13.0,90.25,3.0,6.95,19.51,36.0,Bengaluru,Standard,UPI,0
CUST101349,34.0,74102.53,4.0,97.03,2.0,10.0,14.7,36.0,Delhi,Standard,UPI,0
CUST100988,19.0,159334.57,7.0,122.53,0.0,7.21,20.38,24.0,Delhi,Basic,UPI,0
CUST101115,22.0,37348.99,8.0,108.93,3.0,6.29,25.96,12.0,Bengaluru,Basic,Card,0
CUST100454,65.0,81376.98,0.0,52.96,5.0,6.73,17.8,24.0,Pune,Standard,Card,0
CUST100472,45.0,48441.26,2.0,136.52,0.0,7.79,19.38,6.0,Jaipur,Standard,UPI,0
CUST100325,42.0,35227.3,10.0,86.23,4.0,10.0,24.24,24.0,Delhi,Premium,Wallet,1
CUST100428,23.0,29929.94,1.0,68.28,3.0,7.21,19.18,12.0,Delhi,Standard,Card,1
CUST101218,24.0,89815.64,7.0,142.96,3.0,7.51,26.69,24.0,Hyderabad,Premium,Card,0
CUST100462,39.0,56520.71,9.0,80.41,4.0,8.81,25.48,12.0,Delhi,Basic,NetBanking,0
CUST100307,50.0,39552.36,9.0,61.25,3.0,6.83,12.67,24.0,Delhi,Premium,UPI,0
CUST101465,25.0,41055.04,11.0,74.72,3.0,4.38,26.71,36.0,Jaipur,Standard,UPI,0
CUST101117,50.0,137320.19,2.0,17.23,4.0,8.41,17.29,1.0,Hyderabad,Standard,UPI,0
CUST100310,31.0,38198.65,5.0,106.08,0.0,6.67,1.77,36.0,Mumbai,Basic,Card,0
CUST100352,54.0,49538.67,4.0,138.97,4.0,4.56,7.3,36.0,Hyderabad,Premium,NetBanking,1
