customer_id,age,income,tenure_years,monthly_spend,support_calls,satisfaction_score,login_frequency,contract_months,city,plan,payment_method,churn
CUST100277,58.0,36898.99,7.0,35.47,3.0,7.16,13.38,36.0,Mumbai,Standard,UPI,1
CUST100690,32.0,91132.27,15.0,139.52,2.0,7.44,9.8,12.0,Delhi,Standard,Wallet,0
CUST100113,58.0,42834.21,8.0,122.42,2.0,5.84,17.05,12.0,Mumbai,Basic,Card,0
CUST101319,19.0,31960.83,2.0,80.74,1.0,6.69,13.3,24.0,Jaipur,Standard,Card,0
CUST100863,45.0,54775.57,15.0,111.0,2.0,8.45,19.49,6.0,Delhi,Standard,Card,1
CUST101226,45.0,34814.05,13.0,43.49,1.0,5.69,26.01,24.0,Hyderabad,Standard,UPI,1
CUST100229,51.0,65361.15,14.0,57.96,2.0,6.04,12.73,24.0,Hyderabad,Standard,Card,0
CUST100264,52.0,89139.87,0.0,54.93,1.0,2.71,17.93,12.0,Delhi,Premium,Wallet,0
CUST100706,25.0,89230.65,12.0,113.26,2.0,7.21,21.16,1.0,Bengaluru,Basic,Card,0
CUST101067,62.0,48654.33,11.0,51.57,1.0,9.0,15.12,12.0,Hyderabad,Premium,NetBanking,0
CUST100961,23.0,46176.68,15.0,72.04,1.0,10.0,20.04,6.0,Delhi,Standard,UPI,0
CUST101101,47.0,16888.43,10.0,85.91,4.0,9.24,8.54,1.0,Bengaluru,Basic,NetBanking,0
CUST100273,22.0,51400.31,2.0,50.57,3.0,7.37,19.37,12.0,Jaipur,Standard,UPI,0
CUST100811,51.0,56820.84,12.0,51.26,2.0,6.19,17.76,1.0,Bengaluru,Basic,Wallet,0
CUST100008,36.0,103923.12,3.0,74.82,2.0,10.0,18.03,12.0,Mumbai,Standard,UPI,0
CUST100098,26.0,51352.88,11.0,97.84,3.0,6.07,11.12,12.0,Jaipur,Basic,UPI,0
CUST100092,46.0,39377.78,12.0,126.52,5.0,6.99,25.91,12.0,Jaipur,Standard,NetBanking,0
CUST100965,47.0,53114.13,2.0,77.24,1.0,8.29,29.58,24.0,Delhi,Standard,UPI,0
CUST100111,59.0,70673.0,5.0,97.91,3.0,8.2,29.08,12.0,Delhi,Standard,NetBanking,0
CUST100403,31.0,44656.78,0.0,53.32,2.0,6.67,13.62,12.0,Jaipur,Basic,UPI,0
CUST101400,45.0,47671.41,8.0,142.57,4.0,2.96,6.66,36.0,Mumbai,Premium,UPI,1
CUST101413,56.0,56513.42,1.0,62.2,3.0,5.52,17.83,12.0,Pune,Premium,Card,0
CUST100675,62.0,61411.16,2.0,35.36,3.0,7.39,21.55,12.0,Jaipur,Basic,NetBanking,0
CUST100761,48.0,33993.54,15.0,77.51,4.0,7.83,20.69,12.0,Mumbai,Standard,Card,0
CUST100110,22.0,90527.89,7.0,67.55,4.0,9.23,23.21,24.0,Bengaluru,Basic,Wallet,0
CUST100579,36.0,89885.02,14.0,48.16,4.0,5.57,16.91,1.0,Pune,Basic,Card,0
CUST100374,39.0,29167.44,2.0,107.72,3.0,6.94,25.32,12.0,Delhi,Standard,Wallet,0
CUST100289,53.0,59477.13,6.0,81.8,3.0,5.94,23.87,12.0,Hyderabad,Basic,UPI,0
CUST100084,62.0,58380.85,2.0,73.41,0.0,6.86,18.65,1.0,Pune,Basic,Card,1
CUST100371,41.0,32243.6,1.0,63.81,1.0,5.36,23.39,24.0,Mumbai,Standard,UPI,0
CUST100594,52.0,20790.64,13.0,55.56,3.0,7.26,22.36,1.0,Hyderabad,Basic,UPI,1
