actual,predicted,probability,error,probability_range
1,0,0.3807205249190892,1,0.2-0.4
0,0,0.26009216467089424,0,0.2-0.4
1,0,0.2672557285380642,1,0.2-0.4
0,0,0.13169183893410064,0,0.0-0.2
0,0,0.24649816448291545,0,0.2-0.4
1,0,0.3246429808376128,1,0.2-0.4
0,0,0.12246329428645854,0,0.0-0.2
0,0,0.46740834048695723,0,0.4-0.6
0,0,0.3189404840274955,0,0.2-0.4
0,0,0.415395496275124,0,0.4-0.6
0,0,0.39882537323697326,0,0.2-0.4
0,0,0.1755666226050276,0,0.0-0.2
0,0,0.3297251230796882,0,0.2-0.4
0,0,0.1530091684856728,0,0.0-0.2
0,0,0.3401625512182058,0,0.2-0.4
0,0,0.08185467944956154,0,0.0-0.2
0,0,0.39543235848342223,0,0.2-0.4
0,0,0.27572801421974125,0,0.2-0.4
0,0,0.35973436478030624,0,0.2-0.4
0,0,0.2046326296907515,0,0.2-0.4
1,0,0.4003179845248521,1,0.4-0.6
0,0,0.29767792794997155,0,0.2-0.4
1,1,0.545865172506733,0,0.4-0.6
0,0,0.16177622448935589,0,0.0-0.2
1,0,0.3232578910699029,1,0.2-0.4
0,0,0.0724167009892255,0,0.0-0.2
0,0,0.42674480380572294,0,0.4-0.6
0,0,0.14923099083469754,0,0.0-0.2
0,0,0.28788394497822645,0,0.2-0.4
0,0,0.4679874696950835,0,0.4-0.6
0,0,0.1537601002228653,0,0.0-0.2
0,0,0.3846879546884146,0,0.2-0.4
0,0,0.3285607484544701,0,0.2-0.4
0,0,0.4145747461575914,0,0.4-0.6
1,0,0.38634056461647565,1,0.2-0.4
0,0,0.1074632414022582,0,0.0-0.2
0,0,0.19396279835995556,0,0.0-0.2
0,0,0.23006822014538533,0,0.2-0.4
1,0,0.44279615044791426,1,0.4-0.6
0,0,0.1457389962015545,0,0.0-0.2
0,0,0.26825854357662265,0,0.2-0.4
1,0,0.4244993284524405,1,0.4-0.6
0,0,0.13575337274479168,0,0.0-0.2
0,0,0.16902292913843536,0,0.0-0.2
0,0,0.3397917097928311,0,0.2-0.4
1,0,0.23118958430481498,1,0.2-0.4
1,1,0.5102999099949306,0,0.4-0.6
0,0,0.4450309477951481,0,0.4-0.6
1,0,0.372755200544118,1,0.2-0.4
0,0,0.3679266159288988,0,0.2-0.4
1,0,0.3530048309244408,1,0.2-0.4
0,0,0.4328130281897276,0,0.4-0.6
0,0,0.17657897856329216,0,0.0-0.2
0,0,0.29207572140423105,0,0.2-0.4
1,0,0.19988975669042877,1,0.0-0.2
0,0,0.16294291301649277,0,0.0-0.2
0,0,0.20417232956358877,0,0.2-0.4
0,0,0.1776511318686857,0,0.0-0.2
0,0,0.3995753956192552,0,0.2-0.4
1,0,0.3899504454581066,1,0.2-0.4
0,0,0.33566326698332766,0,0.2-0.4
0,0,0.426118303474195,0,0.4-0.6
0,0,0.22865246130791947,0,0.2-0.4
1,0,0.43415779672289695,1,0.4-0.6
0,0,0.2381471125373605,0,0.2-0.4
1,0,0.3764763358872825,1,0.2-0.4
0,0,0.13008769765484782,0,0.0-0.2
0,0,0.1556169856252579,0,0.0-0.2
0,0,0.11624024603973664,0,0.0-0.2
0,0,0.3885343020783761,0,0.2-0.4
0,0,0.167221389240821,0,0.0-0.2
0,0,0.2867433750409218,0,0.2-0.4
1,0,0.23745193586590682,1,0.2-0.4
1,0,0.4068160042613445,1,0.4-0.6
1,0,0.21946076716441903,1,0.2-0.4
0,0,0.25210180803778465,0,0.2-0.4
0,0,0.39214038869107515,0,0.2-0.4
0,0,0.12341365556270469,0,0.0-0.2
0,0,0.32191713600125377,0,0.2-0.4
0,0,0.21584943984134944,0,0.2-0.4
0,0,0.12219392129793877,0,0.0-0.2
0,0,0.31691860064483857,0,0.2-0.4
0,0,0.15216852862475955,0,0.0-0.2
0,0,0.19088234755273964,0,0.0-0.2
0,0,0.20079560481762504,0,0.2-0.4
0,0,0.414114167022041,0,0.4-0.6
1,0,0.19805250243390288,1,0.0-0.2
1,0,0.4306268248945014,1,0.4-0.6
0,1,0.5946863113879799,1,0.4-0.6
0,0,0.13168822204536257,0,0.0-0.2
1,0,0.45706934941622956,1,0.4-0.6
0,0,0.2625775294305997,0,0.2-0.4
0,0,0.17600817599614318,0,0.0-0.2
1,0,0.4569515898650991,1,0.4-0.6
0,0,0.32103455769411476,0,0.2-0.4
0,0,0.44761978499025007,0,0.4-0.6
0,0,0.17238615619413183,0,0.0-0.2
0,0,0.23396046292785033,0,0.2-0.4
0,0,0.22549912600296218,0,0.2-0.4
0,0,0.2754564573882201,0,0.2-0.4
0,0,0.2185632305900824,0,0.2-0.4
0,0,0.08680763681905737,0,0.0-0.2
0,0,0.1831263260211847,0,0.0-0.2
1,0,0.40788320668722394,1,0.4-0.6
0,0,0.24797030719470955,0,0.2-0.4
1,0,0.3240752684414496,1,0.2-0.4
1,1,0.6331209531723536,0,0.6-0.8
1,0,0.31611638724128166,1,0.2-0.4
0,0,0.1991120433654897,0,0.0-0.2
0,0,0.1473763307445071,0,0.0-0.2
1,0,0.300300188676483,1,0.2-0.4
0,0,0.25048048101369946,0,0.2-0.4
