feature,coefficient,importance
numerical__satisfaction_score,-0.35418697312076425,0.35418697312076425
numerical__age,0.3121744913250199,0.3121744913250199
categorical__plan_Standard,-0.2388608352227259,0.2388608352227259
categorical__plan_Premium,-0.18454019983821573,0.18454019983821573
numerical__income_per_age,-0.17243671167797242,0.17243671167797242
categorical__city_Delhi,-0.14237412932223756,0.14237412932223756
categorical__city_Bengaluru,-0.1363959054213301,0.1363959054213301
numerical__income_log,-0.13200223486922152,0.13200223486922152
numerical__login_frequency,-0.12837200434459695,0.12837200434459695
numerical__contract_months,-0.12507454440543922,0.12507454440543922
categorical__city_Jaipur,-0.12271270529792253,0.12271270529792253
numerical__tenure_years,-0.07958912919191684,0.07958912919191684
numerical__income,-0.07462991425602171,0.07462991425602171
numerical__support_calls,0.056773722908941344,0.056773722908941344
numerical__spend_per_tenure,-0.03010602823053806,0.03010602823053806
