feature,rfe_rank,selected
numerical__income_per_age,1,True
numerical__satisfaction_score,1,True
numerical__income,1,True
numerical__income_log,1,True
numerical__age,1,True
numerical__spend_per_tenure,1,True
numerical__contract_months,1,True
numerical__tenure_years,1,True
categorical__plan_Standard,1,True
categorical__plan_Premium,1,True
numerical__support_calls,1,True
categorical__city_Jaipur,1,True
numerical__login_frequency,1,True
categorical__city_Bengaluru,1,True
categorical__city_Delhi,1,True
numerical__spend_per_login,2,False
numerical__support_calls_per_tenure,3,False
numerical__support_calls_squared,4,False
numerical__monthly_spend,5,False
numerical__login_per_contract,6,False
